"Value"
134.5
125.6
566.4
478.7
377.5
217.5
478.1
377.5
502.6
493.9
494.4
553.4
688.3
393.8
232.8
487
412.2
466.8
487.9
525.5
195.4
495.3
575.3
209.6
606.1
523.9
516.3
598.3
682.8
572.9
487
525.5
512.8
346.5
516.6
253.5
508.1
240.5
661.3
525.5
403.2
518.1
409.4
111
301.5
377.5
628.8
419.2
483.7
417.5
633.7
403.4
661.7
66.7
